STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,August,16,Daylight,,1
Alabama,August,18,Daylight,,1
Alabama,August,23,Dark - Not Lighted,,1
Alabama,August,4,Dark - Lighted,,1
Alabama,August,7,Daylight,,1
Alabama,August,7,Daylight,,1
Alabama,August,10,Daylight,,1
Alabama,August,23,Dark - Not Lighted,,2
Alabama,August,22,Dark - Lighted,,1
Alabama,August,13,Daylight,,2
Alabama,August,19,Daylight,,1
Alabama,August,1,Dark - Not Lighted,,1
Alabama,August,3,Dark - Not Lighted,,1
Alabama,August,5,Dark - Not Lighted,,1
Alabama,August,16,Daylight,,1
Alabama,August,22,Dark - Not Lighted,,1
Alabama,August,5,Dark - Not Lighted,,1
Alabama,August,9,Daylight,,1
Alabama,August,16,Daylight,,1
Alabama,August,13,Daylight,,1
Alabama,August,7,Daylight,,1
Alabama,August,9,Daylight,,1
Alabama,September,18,Dusk,,1
Alabama,September,20,Dark - Not Lighted,,2
Alabama,August,14,Daylight,,1
Alabama,August,15,Daylight,,1
Alabama,July,22,Dark - Not Lighted,,1
Alabama,July,12,Daylight,,1
Alabama,March,18,Daylight,,1
Alabama,May,18,Dusk,,1
Alabama,June,18,Daylight,,1
Alabama,June,22,Dark - Not Lighted,,1
Alabama,June,18,Daylight,,3
Alabama,June,10,Daylight,,1
Alabama,June,14,Daylight,,2
Alabama,May,20,Dark - Lighted,,1
Alabama,July,2,Dark - Lighted,,1
Alabama,July,21,Dark - Lighted,,1
Alabama,August,20,Dark - Lighted,,1
Alabama,August,16,Daylight,,1
Alabama,August,1,Dark - Not Lighted,,1
Alabama,August,20,Dark - Lighted,,1
Alabama,August,7,Daylight,,1
Alabama,August,21,Dark - Not Lighted,,1
Alabama,August,23,Dark - Not Lighted,,1
Alabama,August,2,Dark - Not Lighted,,1
Alabama,August,7,Daylight,,1
Alabama,August,1,Dark - Not Lighted,,1
Alabama,August,15,Daylight,,1
Alabama,August,17,Daylight,,1
Alabama,August,15,Daylight,,1
Alabama,August,15,Daylight,,1
Alabama,August,7,Daylight,,1
Alabama,August,21,Dark - Lighted,,1
Alabama,August,22,Dark - Not Lighted,,1
Alabama,August,17,Daylight,,1
Alabama,August,20,Dark - Not Lighted,,1
Alabama,August,0,Dark - Not Lighted,,1
Alabama,August,18,Daylight,,1
Alabama,August,18,Daylight,,1
Alabama,August,17,Daylight,,1
Alabama,August,15,Daylight,,1
Alabama,August,5,Dark - Not Lighted,,1
Alabama,August,10,Daylight,,1
Alabama,August,21,Dark - Not Lighted,,1
Alabama,August,12,Daylight,,1
Alabama,August,14,Daylight,,1
Alabama,August,11,Daylight,,1
Alabama,August,10,Daylight,,1
Alabama,August,20,Dark - Not Lighted,,1
Alabama,August,9,Daylight,,1
Alabama,August,12,Daylight,,1
Alabama,August,15,Daylight,,1
Alabama,August,14,Daylight,,1
Alabama,September,16,Daylight,,1
Alabama,September,18,Daylight,,1
Alabama,August,20,Dark - Not Lighted,,1
Alabama,September,16,Daylight,,1
Alabama,September,5,Dark - Not Lighted,,1
Alabama,September,5,Dark - Lighted,,2
Alabama,September,1,Dark - Not Lighted,,1
Alabama,September,1,Dark - Lighted,,1
Alabama,September,18,Daylight,,1
Alabama,September,16,Daylight,,1
Alabama,September,5,Dawn,,2
Alabama,September,14,Daylight,,1
Alabama,September,7,Daylight,,1
Alabama,September,15,Daylight,,1
Alabama,September,20,Dark - Not Lighted,,1
Alabama,September,21,Dark - Lighted,,1
Alabama,September,20,Dark - Not Lighted,,1
Alabama,September,0,Dark - Lighted,,1
Alabama,September,21,Dark - Not Lighted,,2
Alabama,September,13,Daylight,,1
Alabama,September,16,Daylight,,1
Alabama,September,5,Dawn,,1
Alabama,September,15,Daylight,,1
Alabama,September,15,Daylight,,1
Alabama,September,14,Daylight,,1
